0	0.0
1	0.0
2	0.11000000000000001
3	0.0
4	0.11000000000000001
5	0.0
6	0.22000000000000006
7	0.22000000000000006
8	0.22000000000000006
9	0.33000000000000007
10	0.22000000000000006
11	0.44000000000000006
12	0.55
13	0.786
14	0.44000000000000006
15	0.55
16	0.914
17	1.024
18	1.024
19	1.1340000000000001
20	1.6190000000000002
21	1.487
22	1.7290000000000003
23	1.8390000000000004
24	2.0430000000000006
25	2.1530000000000005
26	2.2630000000000003
27	2.373
28	2.524
29	2.634
30	2.764
31	3.0149999999999997
32	3.195
33	3.3049999999999997
34	3.449
35	3.743
36	3.9579999999999997
37	4.068
38	4.266
39	4.8999999999999995
